x1,y1,z1,x2,y2,z2
-406.918,-163.265,-1893.039,-435.678,-168.836,-1881.666
-392.191,-121.387,-1899.671,-421.239,-119.769,-1887.921
-359.525,-75.996,-1913.647,-386.537,-66.375,-1900.823
-322.413,-37.037,-1935.826,-346.334,-20.726,-1923.713
-272.715,0.024,-1969.718,-291.696,22.688,-1959.329
-265.128,6.302,-1974.695,-281.09,31.779,-1965.783
-320.804,-31.369,-1938.71,-340.681,-9.611,-1928.007
-355.881,-63.915,-1919.452,-378.124,-45.252,-1907.552
-376.423,-91.874,-1901.457,-399.766,-75.599,-1888.204
-396.918,-135.969,-1870.887,-421.208,-123.477,-1855.326
