x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
-287.575,130.553,-2023.724,-291.283,160.828,-2017.063,0.0,0.0,0.0,0.0,0.0,0.0
-287.956,130.347,-2023.383,-291.679,160.621,-2016.677,0.0,0.0,0.0,0.0,0.0,0.0
-288.334,130.136,-2023.048,-292.07,160.404,-2016.262,0.0,0.0,0.0,0.0,0.0,0.0
-288.722,129.927,-2022.694,-292.479,160.181,-2015.892,0.0,0.0,0.0,0.0,0.0,0.0
-289.082,129.731,-2022.383,-292.867,159.986,-2015.583,0.0,0.0,0.0,0.0,0.0,0.0
-289.44,129.559,-2022.127,-293.254,159.801,-2015.316,0.0,0.0,0.0,0.0,0.0,0.0
-289.749,129.401,-2021.934,-293.569,159.63,-2015.053,0.0,0.0,0.0,0.0,0.0,0.0
-290.019,129.235,-2021.631,-293.856,159.456,-2014.758,0.0,0.0,0.0,0.0,0.0,0.0
-290.257,129.067,-2021.328,-294.11,159.29,-2014.501,0.0,0.0,0.0,0.0,0.0,0.0
-290.508,128.919,-2021.095,-294.366,159.13,-2014.229,0.0,0.0,0.0,0.0,0.0,0.0
-290.807,128.78,-2020.914,-294.688,158.987,-2013.998,0.0,0.0,0.0,0.0,0.0,0.0
-291.095,128.651,-2020.769,-294.995,158.852,-2013.79,0.0,0.0,0.0,0.0,0.0,0.0
-291.348,128.533,-2020.517,-295.28,158.725,-2013.565,0.0,0.0,0.0,0.0,0.0,0.0
-291.596,128.421,-2020.378,-295.538,158.6,-2013.268,0.0,0.0,0.0,0.0,0.0,0.0
-291.838,128.303,-2020.119,-295.788,158.473,-2013.042,0.0,0.0,0.0,0.0,0.0,0.0
-292.126,128.167,-2019.928,-296.102,158.323,-2012.799,0.0,0.0,0.0,0.0,0.0,0.0
-292.446,128.005,-2019.648,-296.446,158.154,-2012.503,0.0,0.0,0.0,0.0,0.0,0.0
-292.766,127.835,-2019.335,-296.801,157.974,-2012.247,0.0,0.0,0.0,0.0,0.0,0.0
-293.077,127.652,-2019.181,-297.117,157.783,-2012.052,0.0,0.0,0.0,0.0,0.0,0.0
-293.377,127.454,-2018.904,-297.442,157.569,-2011.756,0.0,0.0,0.0,0.0,0.0,0.0
-293.75,127.238,-2018.701,-297.848,157.347,-2011.5,0.0,0.0,0.0,0.0,0.0,0.0
-294.153,127.014,-2018.436,-298.271,157.118,-2011.197,0.0,0.0,0.0,0.0,0.0,0.0
-294.534,126.803,-2018.151,-298.69,156.905,-2010.889,0.0,0.0,0.0,0.0,0.0,0.0
-294.889,126.63,-2017.975,-299.073,156.706,-2010.67,0.0,0.0,0.0,0.0,0.0,0.0
-295.217,126.436,-2017.682,-299.424,156.515,-2010.366,0.0,0.0,0.0,0.0,0.0,0.0
-295.555,126.262,-2017.455,-299.792,156.319,-2010.123,0.0,0.0,0.0,0.0,0.0,0.0
-295.92,126.072,-2017.147,-300.168,156.132,-2009.808,0.0,0.0,0.0,0.0,0.0,0.0
-296.284,125.896,-2016.857,-300.567,155.943,-2009.533,0.0,0.0,0.0,0.0,0.0,0.0
-296.635,125.712,-2016.617,-300.935,155.761,-2009.254,0.0,0.0,0.0,0.0,0.0,0.0
-296.978,125.541,-2016.402,-301.288,155.571,-2008.9,0.0,0.0,0.0,0.0,0.0,0.0
-297.327,125.355,-2016.097,-301.669,155.376,-2008.593,0.0,0.0,0.0,0.0,0.0,0.0
-297.673,125.16,-2015.813,-302.028,155.182,-2008.318,0.0,0.0,0.0,0.0,0.0,0.0
-297.995,124.976,-2015.494,-302.381,154.993,-2008.022,0.0,0.0,0.0,0.0,0.0,0.0
-298.321,124.789,-2015.212,-302.741,154.804,-2007.794,0.0,0.0,0.0,0.0,0.0,0.0
-298.619,124.611,-2014.959,-303.058,154.619,-2007.563,0.0,0.0,0.0,0.0,0.0,0.0
-298.929,124.431,-2014.77,-303.379,154.423,-2007.296,0.0,0.0,0.0,0.0,0.0,0.0
-299.232,124.254,-2014.541,-303.69,154.238,-2006.973,0.0,0.0,0.0,0.0,0.0,0.0
-299.541,124.083,-2014.313,-304.015,154.069,-2006.764,0.0,0.0,0.0,0.0,0.0,0.0
-299.815,123.915,-2014.102,-304.304,153.901,-2006.529,0.0,0.0,0.0,0.0,0.0,0.0
-300.077,123.746,-2013.853,-304.589,153.729,-2006.293,0.0,0.0,0.0,0.0,0.0,0.0
-300.384,123.59,-2013.662,-304.898,153.553,-2006.026,0.0,0.0,0.0,0.0,0.0,0.0
-300.708,123.426,-2013.446,-305.247,153.379,-2005.805,0.0,0.0,0.0,0.0,0.0,0.0
-301.029,123.255,-2013.112,-305.623,153.192,-2005.553,0.0,0.0,0.0,0.0,0.0,0.0
-301.352,123.081,-2012.928,-305.959,153.024,-2005.344,0.0,0.0,0.0,0.0,0.0,0.0
-301.634,122.91,-2012.737,-306.254,152.851,-2005.139,0.0,0.0,0.0,0.0,0.0,0.0
-301.939,122.728,-2012.537,-306.571,152.662,-2004.883,0.0,0.0,0.0,0.0,0.0,0.0
-302.268,122.545,-2012.362,-306.91,152.469,-2004.613,0.0,0.0,0.0,0.0,0.0,0.0
-302.578,122.356,-2012.044,-307.241,152.264,-2004.249,0.0,0.0,0.0,0.0,0.0,0.0
-302.863,122.166,-2011.775,-307.571,152.078,-2004.073,0.0,0.0,0.0,0.0,0.0,0.0
-303.091,122.002,-2011.505,-307.815,151.918,-2003.84,0.0,0.0,0.0,0.0,0.0,0.0
-303.292,121.871,-2011.282,-308.022,151.785,-2003.65,0.0,0.0,0.0,0.0,0.0,0.0
-303.539,121.752,-2011.087,-308.279,151.651,-2003.439,0.0,0.0,0.0,0.0,0.0,0.0
-303.796,121.631,-2010.917,-308.54,151.523,-2003.183,0.0,0.0,0.0,0.0,0.0,0.0
-304.047,121.499,-2010.734,-308.809,151.378,-2002.99,0.0,0.0,0.0,0.0,0.0,0.0
-304.308,121.335,-2010.526,-309.093,151.211,-2002.753,0.0,0.0,0.0,0.0,0.0,0.0
-304.604,121.157,-2010.328,-309.405,151.038,-2002.523,0.0,0.0,0.0,0.0,0.0,0.0
-304.927,120.97,-2010.066,-309.747,150.846,-2002.248,0.0,0.0,0.0,0.0,0.0,0.0
-305.326,120.767,-2009.871,-310.167,150.638,-2002.036,0.0,0.0,0.0,0.0,0.0,0.0
-305.751,120.546,-2009.67,-310.644,150.394,-2001.802,0.0,0.0,0.0,0.0,0.0,0.0
