x1,y1,z1,x2,y2,z2
-287.575,130.553,-2023.724,-291.283,160.828,-2017.063
-287.8058066095405,130.4303495056679,-2023.515703460561,-291.5237909820819,160.70453246847046,-2016.8397631598843
-288.03078479454814,130.30500028247545,-2023.3172208796789,-291.75611943881023,160.57866716087395,-2016.5935296229222
-288.25705719182235,130.17830042371318,-2023.1170713195188,-291.9899791582154,160.44860074131097,-2016.3431344343842
-288.4904680272587,130.05164658762263,-2022.905575601604,-292.23387480594846,160.31332019563007,-2016.1065678853856
-288.722,129.92699999999996,-2022.694,-292.479,160.18099999999998,-2015.892
-288.9392902746098,129.80689449693583,-2022.5015922326195,-292.7120910926367,160.06155270010146,-2015.7001413272253
-289.1545333826335,129.69466653707173,-2022.3258925307503,-292.9462067998553,159.94833811072175,-2015.527093632085
-289.3709851761706,129.59164450919252,-2022.1705673021424,-293.18095072209013,159.83687789969557,-2015.367360018325
-289.5699456166193,129.4954976781508,-2022.0525182185722,-293.3876115981108,159.73180007177186,-2015.2140778166695
-289.749,129.401,-2021.934,-293.56899999999996,159.63,-2015.053
-289.91542711074896,129.30267265366876,-2021.7619324432349,-293.74418420081275,159.52540712625233,-2014.8743038244065
-290.0683193085084,129.20074778979512,-2021.5660955213136,-293.9094469687126,159.42207108159494,-2014.7042495086525
-290.21023364730934,129.09933709827692,-2021.3833009690932,-294.0613432931003,159.32274847452052,-2014.5525366127415
-290.3524639085432,129.00565014853703,-2021.2274770326678,-294.2068980922926,159.2246760722361,-2014.3921456478306
-290.508,128.919,-2021.0949999999998,-294.366,159.13,-2014.2289999999998
-290.68466796644833,128.8347115122912,-2020.9775927191852,-294.5558424650996,159.04261273477857,-2014.085363803639
-290.86728657492796,128.75328039358422,-2020.8880843609466,-294.75212682709144,158.95949364634237,-2013.955467917981
-291.0405211637457,128.6758743804097,-2020.8071983050204,-294.93578203669495,158.87835342523863,-2013.8307601191316
-291.1987071391329,128.60261459792528,-2020.6677000827044,-295.111535602677,158.80052417195273,-2013.7078044961584
-291.348,128.533,-2020.517,-295.28,158.725,-2013.565
-291.4979746339378,128.46580070719173,-2020.4360701591445,-295.4383596140087,158.64973866526134,-2013.3852263863814
-291.64361879523966,128.3982557438267,-2020.3341817094706,-295.58621402253044,158.5753553086029,-2013.2167867563537
-291.78726583791575,128.3276111204181,-2020.170203169846,-295.7341347987624,158.49973741307085,-2013.0843691924238
-291.9469968565428,128.25162275934738,-2020.0376626667012,-295.90648256850085,158.41601098621967,-2012.9521085519216
