x1,y1,z1,x2,y2,z2
-243.601,136.317,-1990.497,-249.072,165.862,-1981.148
-243.821,136.333,-1990.474,-249.376,165.868,-1981.152
-244.314,136.416,-1990.66,-250.071,165.919,-1981.366
-245.391,136.348,-1990.913,-251.548,165.78,-1981.668
-246.372,136.202,-1991.254,-252.839,165.564,-1982.015
-247.532,136.047,-1991.724,-254.273,165.38,-1982.576
-248.498,135.97,-1992.307,-255.455,165.266,-1983.179
-249.131,135.913,-1992.689,-256.223,165.21,-1983.73
-249.673,135.844,-1993.082,-256.895,165.148,-1984.172
-250.277,135.811,-1993.522,-257.686,165.099,-1984.731
-250.999,135.794,-1994.207,-258.604,165.091,-1985.568
-252.163,135.666,-1994.907,-260.09,164.936,-1986.498
-253.633,135.397,-1995.63,-261.986,164.602,-1987.458
-254.946,135.146,-1996.53,-263.663,164.283,-1988.443
-256.507,134.751,-1997.162,-265.656,163.782,-1989.215
-257.757,134.404,-1997.797,-267.229,163.36,-1989.914
-258.623,134.144,-1998.232,-268.358,163.049,-1990.496
-259.219,133.99,-1998.52,-269.119,162.843,-1990.831
-260.087,133.768,-1998.858,-270.238,162.555,-1991.273
-260.917,133.577,-1999.398,-271.316,162.296,-1991.911
-261.709,133.366,-1999.836,-272.356,162.016,-1992.348
-262.932,132.863,-2000.493,-273.952,161.397,-1993.151
-263.905,132.554,-2001.183,-275.242,161.002,-1993.906
-265.04,132.232,-2001.647,-276.775,160.527,-1994.427
-266.193,132.062,-2002.145,-278.342,160.176,-1994.886
-267.449,131.901,-2002.656,-280.092,159.808,-1995.465
-268.981,131.756,-2003.284,-282.179,159.419,-1996.133
-270.661,131.524,-2003.831,-284.487,158.875,-1996.693
-272.291,131.285,-2004.158,-286.782,158.296,-1997.023
-273.829,131.096,-2004.343,-288.984,157.7,-1997.038
-275.429,130.793,-2004.628,-291.178,157.008,-1997.162
-277.052,130.307,-2005.125,-293.331,156.171,-1997.574
-278.825,129.665,-2005.829,-295.625,155.189,-1998.265
-280.686,128.968,-2006.857,-297.993,154.199,-1999.455
-282.549,128.321,-2007.997,-300.391,153.209,-2000.746
-284.363,127.664,-2009.291,-302.713,152.306,-2002.442
-286.04,126.955,-2010.645,-304.697,151.454,-2004.056
-287.061,126.556,-2011.729,-305.895,151.019,-2005.583
-287.655,126.075,-2012.189,-306.399,150.746,-2006.627
-288.105,125.366,-2012.856,-306.555,150.443,-2008.185
-288.639,124.612,-2013.786,-306.868,150.005,-2010.025
-289.409,123.894,-2014.574,-307.658,149.351,-2011.398
-290.147,123.333,-2015.422,-308.477,148.813,-2012.868
-291.034,122.814,-2016.498,-309.508,148.22,-2014.366
-291.985,122.067,-2018.156,-310.532,147.489,-2017.005
-292.828,120.949,-2019.302,-311.254,146.482,-2019.22
-293.361,119.804,-2020.161,-311.447,145.553,-2021.204
-293.521,119.061,-2020.995,-311.466,144.862,-2023.143
-293.521,118.57,-2021.67,-311.363,144.349,-2024.587
-293.439,118.211,-2022.478,-311.167,143.988,-2026.196
-293.377,117.911,-2023.057,-311.053,143.661,-2027.478
-293.229,117.735,-2023.573,-310.859,143.43,-2028.452
-292.976,117.498,-2024.198,-310.497,143.17,-2029.586
-292.94,116.997,-2024.923,-310.42,142.588,-2031.019
-292.786,116.542,-2025.586,-310.194,142.056,-2032.167
-292.606,116.14,-2026.208,-309.963,141.56,-2033.242
-292.709,115.769,-2026.584,-310.255,141.0,-2034.033
-292.891,115.488,-2027.097,-310.656,140.504,-2034.675
-293.136,115.252,-2027.785,-311.125,140.031,-2035.576
-293.364,115.011,-2028.544,-311.456,139.66,-2036.359
-293.771,114.683,-2029.15,-312.033,139.154,-2037.294
-293.989,114.523,-2029.57,-312.352,138.891,-2037.733
-293.985,114.551,-2029.765,-312.371,138.891,-2037.928
-293.566,114.921,-2029.459,-311.896,139.345,-2037.561
-293.238,115.226,-2028.993,-311.45,139.781,-2036.949
-292.789,115.476,-2028.446,-310.681,140.293,-2036.388
-292.411,115.69,-2028.205,-310.081,140.66,-2036.131
-291.982,115.958,-2028.031,-309.498,141.06,-2035.907
-291.529,116.342,-2027.749,-308.927,141.556,-2035.574
-291.049,116.73,-2027.506,-308.331,142.031,-2035.34
-290.376,117.186,-2027.5,-307.457,142.568,-2035.426
-289.496,117.836,-2027.451,-306.387,143.332,-2035.485
-288.153,118.937,-2027.08,-304.676,144.695,-2034.87
-286.671,120.177,-2026.249,-302.845,146.233,-2033.755
-285.015,121.438,-2024.978,-300.822,147.813,-2032.179
-283.14,122.773,-2023.694,-298.432,149.533,-2030.502
-281.833,123.715,-2022.438,-296.765,150.772,-2028.872
-280.213,124.882,-2021.343,-294.66,152.292,-2027.394
-279.357,125.649,-2020.132,-293.684,153.215,-2025.821
-278.078,126.582,-2018.934,-292.102,154.374,-2024.105
-277.169,127.073,-2017.787,-290.897,155.049,-2022.651
-276.026,127.631,-2016.703,-289.365,155.845,-2021.429
-274.874,128.179,-2015.484,-287.896,156.59,-2019.75
-273.477,128.877,-2014.029,-286.049,157.548,-2017.72
-272.177,129.585,-2012.259,-284.387,158.504,-2015.163
-270.97,130.285,-2010.203,-282.951,159.413,-2012.031
-270.029,130.64,-2008.759,-281.795,159.869,-2009.998
-268.983,131.017,-2007.493,-280.509,160.363,-2008.242
-268.062,131.262,-2006.281,-279.324,160.72,-2006.695
-266.958,131.669,-2005.004,-277.97,161.22,-2004.931
-265.801,132.169,-2003.561,-276.572,161.805,-2002.986
-264.719,132.582,-2002.339,-275.242,162.281,-2001.119
-263.447,132.88,-2000.844,-273.702,162.649,-1999.123
-262.009,133.207,-1999.353,-271.917,163.055,-1997.21
-260.84,133.435,-1997.757,-270.457,163.341,-1995.185
-259.536,133.745,-1996.385,-268.824,163.713,-1993.373
-258.395,133.91,-1994.858,-267.432,163.915,-1991.444
-257.213,134.201,-1993.191,-265.976,164.202,-1989.135
-256.276,134.544,-1991.291,-265.011,164.432,-1986.405
-255.113,134.769,-1989.425,-263.762,164.539,-1983.786
-253.783,134.825,-1987.577,-262.129,164.557,-1981.234
-252.346,134.826,-1985.555,-260.347,164.512,-1978.708
-250.802,134.964,-1983.928,-258.407,164.652,-1976.638
-249.675,135.204,-1981.857,-257.193,164.647,-1973.55
-248.292,135.353,-1979.577,-255.729,164.491,-1970.206
-246.934,135.234,-1977.594,-254.154,164.195,-1967.554
-245.674,135.002,-1975.379,-252.705,163.7,-1964.485
-244.359,134.704,-1973.006,-251.273,163.052,-1961.093
-242.848,134.275,-1970.012,-249.933,161.973,-1956.707
-241.287,133.776,-1967.222,-248.488,160.861,-1952.742
-239.884,133.125,-1964.789,-247.007,159.783,-1949.465
-238.802,132.455,-1962.503,-245.899,158.654,-1946.348
-237.597,131.874,-1960.479,-244.398,157.826,-1943.774
-236.839,131.058,-1958.454,-243.451,156.734,-1941.273
-236.075,130.323,-1956.682,-242.615,155.612,-1938.888
-235.157,129.588,-1955.172,-241.625,154.436,-1936.752
-234.113,129.146,-1954.047,-240.416,153.599,-1935.003
-233.574,128.847,-1952.941,-240.03,152.663,-1933.122
-233.065,128.141,-1951.593,-239.728,151.018,-1930.609
-232.604,127.196,-1950.073,-239.418,149.204,-1928.153
-231.843,125.948,-1948.413,-238.4,147.452,-1925.91
-231.254,125.067,-1947.03,-237.616,146.27,-1924.158
-230.554,124.895,-1946.597,-236.845,145.836,-1923.445
-230.129,124.766,-1946.474,-236.368,145.497,-1923.124
-229.636,124.422,-1945.958,-235.924,144.632,-1922.167
-228.944,124.306,-1945.582,-235.227,144.117,-1921.451
-228.241,124.024,-1945.012,-234.449,143.566,-1920.714
-227.389,124.046,-1944.721,-233.254,143.884,-1920.527
-226.198,124.017,-1944.27,-231.481,144.448,-1920.416
-224.192,124.397,-1944.401,-228.77,145.372,-1920.86
-222.441,124.65,-1944.786,-226.325,146.145,-1921.481
-220.617,124.9,-1945.42,-223.687,147.064,-1922.677
-218.708,125.16,-1946.227,-220.927,147.973,-1924.058
-216.698,125.163,-1947.024,-217.638,149.02,-1925.976
-215.009,124.895,-1947.72,-214.655,149.629,-1927.733
-213.028,124.802,-1948.91,-211.576,150.145,-1929.882
-211.538,124.297,-1949.484,-209.145,150.013,-1931.074
-209.795,124.027,-1949.774,-206.639,149.922,-1931.725
-207.708,123.916,-1950.345,-203.763,150.096,-1932.888
-205.642,124.06,-1951.551,-200.938,150.845,-1935.338
-204.035,123.93,-1952.689,-198.65,151.177,-1937.56
-202.69,123.628,-1953.175,-196.803,151.015,-1938.516
-200.858,123.552,-1954.022,-194.295,151.105,-1940.002
-199.279,123.135,-1955.087,-191.86,150.933,-1942.038
-197.68,122.756,-1955.994,-189.596,150.701,-1943.755
-196.037,122.387,-1956.589,-187.226,150.341,-1944.872
-195.044,122.022,-1956.93,-185.745,150.045,-1945.874
-193.887,121.684,-1957.613,-183.933,149.707,-1947.139
-193.146,121.563,-1957.777,-182.951,149.551,-1947.504
-191.844,120.833,-1958.478,-180.824,148.721,-1948.795
-190.89,120.167,-1958.872,-179.374,148.038,-1949.78
-189.732,119.66,-1959.523,-177.645,147.486,-1951.088
-188.536,119.287,-1959.888,-175.984,146.995,-1951.724
-187.967,119.337,-1959.917,-175.237,146.975,-1951.84
-187.03,119.475,-1960.495,-174.071,147.025,-1952.469
-186.709,119.716,-1960.968,-173.817,147.318,-1953.034
-186.375,119.946,-1961.62,-173.452,147.586,-1953.781
-186.442,120.247,-1961.962,-173.659,147.98,-1954.421
-186.618,120.596,-1962.291,-174.011,148.442,-1954.798
-187.313,121.322,-1962.488,-175.366,149.386,-1954.725
-188.237,122.085,-1962.388,-176.988,150.327,-1954.186
-189.212,122.792,-1962.293,-178.564,151.155,-1953.73
-190.588,123.436,-1962.046,-180.499,151.93,-1953.213
-191.886,123.702,-1961.902,-182.136,152.256,-1952.839
-193.253,124.219,-1961.994,-184.004,152.883,-1952.771
-195.011,124.676,-1962.032,-186.266,153.466,-1952.679
-196.791,125.24,-1961.869,-188.688,154.17,-1952.432
-198.842,125.95,-1961.587,-191.585,154.952,-1951.58
-201.559,126.272,-1960.747,-195.258,155.288,-1950.199
-204.196,126.664,-1960.128,-198.822,155.691,-1949.156
-206.768,127.026,-1959.793,-202.221,156.071,-1948.526
-209.342,127.411,-1959.658,-205.643,156.51,-1948.184
-212.226,127.938,-1959.609,-209.277,157.091,-1948.036
-214.729,128.353,-1960.115,-212.318,157.619,-1948.718
-217.385,128.762,-1960.821,-215.682,158.141,-1949.604
-219.693,129.12,-1961.441,-218.607,158.61,-1950.441
-222.313,129.516,-1962.098,-222.002,159.091,-1951.261
-224.686,129.841,-1963.057,-225.045,159.501,-1952.451
-226.989,130.09,-1964.051,-228.006,159.868,-1953.851
-229.381,130.29,-1965.22,-230.924,160.162,-1955.374
-231.551,130.554,-1966.779,-233.521,160.611,-1957.592
-233.377,130.675,-1968.362,-235.534,160.947,-1959.987
-234.809,130.816,-1970.035,-237.168,161.274,-1962.458
-235.856,131.025,-1971.977,-238.323,161.693,-1965.287
-236.794,131.249,-1973.979,-239.424,162.096,-1968.231
-237.77,131.399,-1976.152,-240.472,162.415,-1971.382
-238.667,131.541,-1978.677,-241.291,162.73,-1975.062
-239.47,131.588,-1980.851,-242.138,162.871,-1978.221
-240.143,131.672,-1982.871,-242.828,163.028,-1981.178
-240.286,132.018,-1985.079,-242.96,163.416,-1984.298
-240.638,132.142,-1987.144,-243.223,163.557,-1987.269
-240.668,132.184,-1989.259,-243.012,163.609,-1990.45
-240.908,132.255,-1991.422,-243.063,163.64,-1993.656
-241.405,132.17,-1993.849,-243.375,163.467,-1997.197
-241.211,132.337,-1996.357,-242.957,163.529,-2000.599
-241.205,132.312,-1998.08,-242.814,163.42,-2002.988
-241.049,132.176,-1999.773,-242.42,163.156,-2005.45
-241.091,132.072,-2001.483,-242.297,162.929,-2007.886
