x1,y1,z1,x2,y2,z2
-287.575,130.553,-2023.724,-291.283,160.828,-2017.063
-287.956,130.347,-2023.383,-291.679,160.621,-2016.677
-288.334,130.136,-2023.048,-292.07,160.404,-2016.262
-288.722,129.927,-2022.694,-292.479,160.181,-2015.892
-289.082,129.731,-2022.383,-292.867,159.986,-2015.583
-289.44,129.559,-2022.127,-293.254,159.801,-2015.316
-289.749,129.401,-2021.934,-293.569,159.63,-2015.053
-290.019,129.235,-2021.631,-293.856,159.456,-2014.758
-290.257,129.067,-2021.328,-294.11,159.29,-2014.501
-290.508,128.919,-2021.095,-294.366,159.13,-2014.229
-290.807,128.78,-2020.914,-294.688,158.987,-2013.998
-291.095,128.651,-2020.769,-294.995,158.852,-2013.79
-291.348,128.533,-2020.517,-295.28,158.725,-2013.565
-291.596,128.421,-2020.378,-295.538,158.6,-2013.268
-291.838,128.303,-2020.119,-295.788,158.473,-2013.042
-292.126,128.167,-2019.928,-296.102,158.323,-2012.799
-292.446,128.005,-2019.648,-296.446,158.154,-2012.503
-292.766,127.835,-2019.335,-296.801,157.974,-2012.247
-293.077,127.652,-2019.181,-297.117,157.783,-2012.052
-293.377,127.454,-2018.904,-297.442,157.569,-2011.756
-293.75,127.238,-2018.701,-297.848,157.347,-2011.5
-294.153,127.014,-2018.436,-298.271,157.118,-2011.197
-294.534,126.803,-2018.151,-298.69,156.905,-2010.889
-294.889,126.63,-2017.975,-299.073,156.706,-2010.67
-295.217,126.436,-2017.682,-299.424,156.515,-2010.366
-295.555,126.262,-2017.455,-299.792,156.319,-2010.123
-295.92,126.072,-2017.147,-300.168,156.132,-2009.808
-296.284,125.896,-2016.857,-300.567,155.943,-2009.533
-296.635,125.712,-2016.617,-300.935,155.761,-2009.254
-296.978,125.541,-2016.402,-301.288,155.571,-2008.9
-297.327,125.355,-2016.097,-301.669,155.376,-2008.593
-297.673,125.16,-2015.813,-302.028,155.182,-2008.318
-297.995,124.976,-2015.494,-302.381,154.993,-2008.022
-298.321,124.789,-2015.212,-302.741,154.804,-2007.794
-298.619,124.611,-2014.959,-303.058,154.619,-2007.563
-298.929,124.431,-2014.77,-303.379,154.423,-2007.296
-299.232,124.254,-2014.541,-303.69,154.238,-2006.973
-299.541,124.083,-2014.313,-304.015,154.069,-2006.764
-299.815,123.915,-2014.102,-304.304,153.901,-2006.529
-300.077,123.746,-2013.853,-304.589,153.729,-2006.293
-300.384,123.59,-2013.662,-304.898,153.553,-2006.026
-300.708,123.426,-2013.446,-305.247,153.379,-2005.805
-301.029,123.255,-2013.112,-305.623,153.192,-2005.553
-301.352,123.081,-2012.928,-305.959,153.024,-2005.344
-301.634,122.91,-2012.737,-306.254,152.851,-2005.139
-301.939,122.728,-2012.537,-306.571,152.662,-2004.883
-302.268,122.545,-2012.362,-306.91,152.469,-2004.613
-302.578,122.356,-2012.044,-307.241,152.264,-2004.249
-302.863,122.166,-2011.775,-307.571,152.078,-2004.073
-303.091,122.002,-2011.505,-307.815,151.918,-2003.84
-303.292,121.871,-2011.282,-308.022,151.785,-2003.65
-303.539,121.752,-2011.087,-308.279,151.651,-2003.439
-303.796,121.631,-2010.917,-308.54,151.523,-2003.183
-304.047,121.499,-2010.734,-308.809,151.378,-2002.99
-304.308,121.335,-2010.526,-309.093,151.211,-2002.753
-304.604,121.157,-2010.328,-309.405,151.038,-2002.523
-304.927,120.97,-2010.066,-309.747,150.846,-2002.248
-305.326,120.767,-2009.871,-310.167,150.638,-2002.036
-305.751,120.546,-2009.67,-310.644,150.394,-2001.802
-306.144,120.309,-2009.343,-311.08,150.146,-2001.578
-306.509,120.071,-2009.077,-311.49,149.91,-2001.352
-306.91,119.831,-2008.845,-311.88,149.666,-2000.99
-307.331,119.604,-2008.572,-312.334,149.418,-2000.618
-307.762,119.364,-2008.246,-312.805,149.179,-2000.355
-308.169,119.123,-2007.915,-313.247,148.94,-2000.089
-308.548,118.896,-2007.652,-313.655,148.692,-1999.841
-308.929,118.656,-2007.431,-314.048,148.439,-1999.502
-309.319,118.411,-2007.122,-314.468,148.187,-1999.209
-309.686,118.17,-2006.849,-314.856,147.952,-1998.906
-310.021,117.946,-2006.614,-315.202,147.702,-1998.647
-310.334,117.729,-2006.362,-315.538,147.483,-1998.449
-310.646,117.525,-2006.146,-315.87,147.261,-1998.186
-310.997,117.314,-2005.876,-316.254,147.059,-1997.937
-311.35,117.126,-2005.653,-316.641,146.871,-1997.706
-311.673,116.947,-2005.382,-316.979,146.679,-1997.397
-311.97,116.77,-2005.194,-317.274,146.483,-1997.066
-312.273,116.586,-2004.956,-317.609,146.284,-1996.803
-312.585,116.382,-2004.627,-317.97,146.08,-1996.556
-312.922,116.179,-2004.336,-318.353,145.869,-1996.313
-313.217,116.006,-2004.133,-318.665,145.682,-1996.072
-313.49,115.856,-2003.976,-318.95,145.521,-1995.859
-313.747,115.722,-2003.945,-319.209,145.382,-1995.729
-313.944,115.601,-2003.804,-319.421,145.26,-1995.625
-314.157,115.487,-2003.736,-319.641,145.153,-1995.57
-314.417,115.372,-2003.705,-319.923,145.04,-1995.531
-314.721,115.254,-2003.69,-320.269,144.922,-1995.592
-315.054,115.135,-2003.746,-320.627,144.794,-1995.706
-315.384,114.986,-2003.816,-320.974,144.635,-1995.72
-315.728,114.822,-2003.826,-321.344,144.459,-1995.714
-316.103,114.651,-2003.912,-321.732,144.281,-1995.715
-316.489,114.463,-2003.895,-322.157,144.095,-1995.75
-316.881,114.269,-2003.881,-322.584,143.905,-1995.78
-317.268,114.077,-2003.942,-323.009,143.709,-1995.849
-317.626,113.878,-2003.888,-323.389,143.494,-1995.834
-318.001,113.69,-2003.906,-323.765,143.295,-1995.736
-318.392,113.496,-2003.803,-324.199,143.105,-1995.693
-318.778,113.316,-2003.721,-324.618,142.91,-1995.563
-319.098,113.137,-2003.614,-324.964,142.729,-1995.517
-319.352,113.0,-2003.556,-325.229,142.582,-1995.373
-319.569,112.896,-2003.501,-325.483,142.467,-1995.376
-319.735,112.829,-2003.505,-325.648,142.398,-1995.37
-319.86,112.763,-2003.466,-325.77,142.331,-1995.347
-319.976,112.692,-2003.518,-325.877,142.254,-1995.34
-320.067,112.612,-2003.515,-325.978,142.171,-1995.36
-320.171,112.537,-2003.558,-326.078,142.102,-1995.386
-320.307,112.468,-2003.585,-326.231,142.031,-1995.44
-320.503,112.391,-2003.548,-326.422,141.954,-1995.344
-320.704,112.305,-2003.523,-326.637,141.867,-1995.327
-320.883,112.202,-2003.496,-326.826,141.772,-1995.302
-321.052,112.101,-2003.401,-327.02,141.661,-1995.267
-321.264,111.978,-2003.269,-327.247,141.53,-1995.119
-321.547,111.829,-2003.17,-327.54,141.367,-1994.978
-321.863,111.661,-2002.985,-327.864,141.188,-1994.829
-322.182,111.458,-2002.847,-328.203,140.983,-1994.629
-322.483,111.228,-2002.571,-328.538,140.755,-1994.388
-322.824,110.982,-2002.402,-328.898,140.508,-1994.162
-323.203,110.737,-2002.175,-329.297,140.241,-1993.888
-323.636,110.479,-2001.916,-329.763,139.962,-1993.677
-324.063,110.21,-2001.601,-330.225,139.699,-1993.417
-324.472,109.939,-2001.342,-330.667,139.422,-1993.078
-324.882,109.665,-2001.078,-331.105,139.122,-1992.734
-325.266,109.397,-2000.776,-331.51,138.853,-1992.415
-325.649,109.142,-2000.406,-331.924,138.586,-1992.127
