Tx1,Ty1,Tz1,Tx2,Ty2,Tz2
-230.088,102.603,-1990.492,-247.516,125.852,-1979.038
-230.202,102.434,-1990.432,-247.616,125.692,-1978.914
-230.38,102.12,-1990.284,-247.835,125.339,-1978.699
-230.637,101.706,-1990.067,-248.152,124.867,-1978.538
-230.82,101.336,-1989.882,-248.397,124.427,-1978.27
-230.913,101.079,-1989.797,-248.493,124.182,-1978.165
-231.045,100.784,-1989.716,-248.673,123.852,-1978.102
-231.276,100.406,-1989.554,-248.969,123.417,-1977.909
-231.535,100.025,-1989.459,-249.299,122.972,-1977.817
-231.757,99.731,-1989.456,-249.589,122.613,-1977.788
-231.768,99.67,-1989.51,-249.625,122.545,-1977.852
-231.541,99.919,-1989.566,-249.361,122.853,-1977.984
-231.086,100.468,-1989.754,-248.799,123.506,-1978.177
-230.417,101.347,-1989.884,-247.951,124.545,-1978.411
-229.562,102.484,-1990.01,-246.857,125.863,-1978.624
-228.637,103.733,-1990.22,-245.632,127.313,-1978.77
-227.684,104.917,-1990.469,-244.413,128.684,-1978.936
-226.547,106.189,-1990.733,-242.992,130.187,-1979.27
-225.228,107.639,-1991.087,-241.302,131.889,-1979.549
-223.71,109.31,-1991.559,-239.37,133.848,-1980.124
-221.887,111.236,-1992.137,-237.067,136.161,-1980.955
-220.091,113.093,-1992.651,-234.738,138.405,-1981.628
-218.863,114.392,-1992.906,-233.147,139.961,-1981.971
-218.138,115.165,-1993.004,-232.278,140.849,-1982.104
-217.505,115.726,-1992.961,-231.487,141.52,-1982.194
-216.848,116.255,-1992.942,-230.681,142.163,-1982.22
-216.208,116.751,-1992.938,-229.874,142.756,-1982.228
-215.722,117.089,-1992.805,-229.241,143.185,-1982.13
-215.534,117.189,-1992.624,-229.019,143.303,-1981.979
-215.504,117.124,-1992.353,-228.995,143.223,-1981.663
-215.48,117.071,-1992.152,-228.96,143.168,-1981.432
-215.476,117.01,-1991.926,-228.933,143.106,-1981.181
-215.474,116.948,-1991.755,-228.94,143.024,-1980.976
-215.433,116.949,-1991.716,-228.894,143.03,-1980.942
-215.345,117.032,-1991.711,-228.771,143.144,-1980.991
-215.253,117.16,-1991.83,-228.645,143.289,-1981.064
-215.079,117.336,-1991.849,-228.425,143.5,-1981.177
-214.784,117.594,-1992.017,-228.038,143.799,-1981.284
-214.361,117.928,-1992.196,-227.515,144.194,-1981.468
-213.823,118.343,-1992.385,-226.869,144.694,-1981.766
-213.184,118.856,-1992.559,-226.043,145.31,-1981.929
-212.426,119.455,-1992.658,-225.068,146.01,-1982.025
-211.568,120.088,-1992.657,-223.993,146.763,-1982.128
-210.661,120.766,-1992.704,-222.829,147.564,-1982.111
-209.684,121.465,-1992.705,-221.6,148.393,-1982.167
-208.676,122.212,-1992.709,-220.312,149.264,-1982.231
-207.703,122.938,-1992.751,-219.045,150.106,-1982.229
-206.753,123.589,-1992.699,-217.85,150.864,-1982.205
-205.81,124.213,-1992.672,-216.641,151.595,-1982.139
-204.897,124.812,-1992.611,-215.501,152.272,-1982.12
-204.115,125.343,-1992.543,-214.507,152.897,-1982.096
-203.486,125.781,-1992.555,-213.686,153.396,-1982.069
-202.963,126.147,-1992.56,-213.026,153.828,-1982.057
-202.44,126.475,-1992.562,-212.387,154.21,-1982.15
-201.945,126.792,-1992.626,-211.742,154.589,-1982.239
-201.515,127.093,-1992.721,-211.215,154.943,-1982.39
-201.155,127.329,-1992.875,-210.747,155.223,-1982.516
-200.83,127.542,-1993.048,-210.348,155.47,-1982.715
-200.518,127.747,-1993.283,-209.96,155.729,-1983.042
-200.149,128.005,-1993.503,-209.516,156.021,-1983.284
-199.693,128.325,-1993.813,-208.927,156.404,-1983.589
-199.212,128.668,-1994.037,-208.339,156.825,-1984.012
-198.799,128.967,-1994.334,-207.805,157.181,-1984.309
-198.481,129.196,-1994.503,-207.424,157.446,-1984.456
-198.23,129.367,-1994.722,-207.128,157.659,-1984.775
-198.012,129.534,-1995.104,-206.867,157.862,-1985.171
-197.803,129.744,-1995.574,-206.616,158.122,-1985.825
-197.772,129.855,-1996.077,-206.563,158.271,-1986.37
-198.06,129.75,-1996.245,-206.925,158.141,-1986.549
-198.489,129.54,-1996.325,-207.484,157.896,-1986.645
-198.897,129.333,-1996.349,-207.991,157.642,-1986.711
-199.319,129.091,-1996.324,-208.509,157.366,-1986.688
-199.832,128.773,-1996.315,-209.143,157.004,-1986.561
-200.359,128.395,-1996.205,-209.811,156.58,-1986.501
-200.846,128.025,-1996.085,-210.427,156.142,-1986.341
-201.344,127.651,-1995.941,-211.039,155.73,-1986.186
-201.953,127.219,-1995.776,-211.796,155.227,-1985.98
-202.657,126.734,-1995.573,-212.699,154.659,-1985.781
-203.318,126.265,-1995.492,-213.517,154.08,-1985.524
-203.902,125.825,-1995.399,-214.251,153.585,-1985.488
-204.562,125.339,-1995.476,-215.07,153.011,-1985.445
-205.396,124.783,-1995.605,-216.112,152.362,-1985.468
-206.375,124.128,-1995.777,-217.351,151.611,-1985.723
-207.521,123.341,-1996.052,-218.795,150.678,-1985.89
-208.809,122.413,-1996.33,-220.445,149.599,-1986.15
-210.162,121.433,-1996.68,-222.173,148.452,-1986.481
-211.539,120.415,-1997.1,-223.916,147.273,-1986.908
-212.913,119.401,-1997.512,-225.65,146.081,-1987.33
-214.22,118.436,-1997.973,-227.328,144.939,-1987.798
-215.475,117.5,-1998.335,-228.917,143.841,-1988.221
-216.678,116.587,-1998.757,-230.452,142.754,-1988.609
-217.718,115.777,-1999.051,-231.784,141.809,-1989.033
-218.586,115.093,-1999.365,-232.887,140.993,-1989.255
-219.295,114.512,-1999.566,-233.776,140.295,-1989.403
-219.909,113.993,-1999.735,-234.571,139.668,-1989.651
-220.585,113.436,-2000.028,-235.428,138.991,-1989.809
-221.408,112.79,-2000.29,-236.484,138.206,-1990.051
-222.356,112.035,-2000.662,-237.697,137.291,-1990.393
-223.371,111.188,-2001.045,-239.006,136.276,-1990.817
-224.39,110.305,-2001.522,-240.307,135.192,-1991.174
-225.4,109.385,-2001.993,-241.608,134.087,-1991.635
-226.418,108.454,-2002.474,-242.924,132.982,-1992.255
-227.436,107.523,-2002.878,-244.236,131.876,-1992.755
-228.44,106.584,-2003.28,-245.516,130.758,-1993.209
-229.356,105.684,-2003.521,-246.695,129.702,-1993.577
-230.171,104.832,-2003.63,-247.729,128.67,-1993.562
-230.89,104.071,-2003.562,-248.627,127.768,-1993.479
-231.559,103.33,-2003.329,-249.454,126.884,-1993.208
-232.281,102.482,-2002.968,-250.342,125.867,-1992.717
-232.998,101.564,-2002.57,-251.235,124.759,-1992.19
-233.699,100.629,-2002.225,-252.107,123.623,-1991.675
-234.416,99.707,-2001.909,-252.994,122.533,-1991.31
-235.167,98.809,-2001.689,-253.928,121.432,-1990.973
-235.929,97.927,-2001.533,-254.875,120.363,-1990.719
-236.687,97.046,-2001.382,-255.814,119.301,-1990.545
-237.446,96.153,-2001.285,-256.767,118.213,-1990.377
-238.165,95.257,-2001.172,-257.673,117.143,-1990.2
-238.868,94.382,-2001.012,-258.555,116.097,-1990.07
-239.533,93.495,-2000.8,-259.408,115.042,-1989.903
-240.143,92.665,-2000.585,-260.151,114.071,-1989.681
-240.696,91.894,-2000.4,-260.867,113.112,-1989.427
-241.284,91.09,-2000.135,-261.635,112.135,-1989.14
-242.037,90.102,-1999.833,-262.638,110.869,-1988.763
-242.991,88.825,-1999.485,-263.899,109.203,-1988.239
-243.998,87.41,-1999.09,-265.232,107.359,-1987.641
-244.874,86.051,-1998.637,-266.391,105.648,-1987.131
-245.668,84.811,-1998.28,-267.423,104.1,-1986.713
-246.364,83.738,-1997.902,-268.299,102.762,-1986.291
-246.961,82.803,-1997.549,-269.037,101.631,-1985.903
-247.477,81.947,-1997.214,-269.656,100.614,-1985.492
-247.92,81.146,-1996.788,-270.158,99.67,-1984.94
-248.253,80.485,-1996.452,-270.516,98.908,-1984.468
-248.445,80.02,-1996.119,-270.737,98.388,-1984.194
-248.552,79.787,-1996.008,-270.84,98.125,-1984.037
-248.571,79.797,-1996.069,-270.833,98.161,-1984.055
-248.527,79.968,-1996.163,-270.759,98.368,-1984.136
-248.43,80.25,-1996.317,-270.608,98.718,-1984.235
-248.282,80.601,-1996.405,-270.43,99.119,-1984.389
-248.115,80.943,-1996.434,-270.219,99.508,-1984.398
-247.868,81.4,-1996.546,-269.902,100.022,-1984.45
-247.51,81.992,-1996.696,-269.468,100.714,-1984.62
-247.094,82.716,-1996.931,-268.958,101.513,-1984.854
-246.689,83.469,-1997.205,-268.465,102.362,-1985.072
-246.378,84.111,-1997.546,-268.06,103.082,-1985.301
-246.035,84.736,-1997.807,-267.662,103.782,-1985.637
-245.624,85.447,-1998.179,-267.185,104.601,-1986.017
-245.081,86.348,-1998.651,-266.515,105.674,-1986.547
-244.536,87.282,-1999.121,-265.823,106.773,-1987.019
-244.062,88.087,-1999.533,-265.258,107.732,-1987.487
-243.581,88.879,-1999.921,-264.656,108.678,-1987.931
-242.993,89.745,-2000.178,-263.941,109.712,-1988.305
-242.334,90.719,-2000.446,-263.103,110.889,-1988.644
-241.629,91.801,-2000.753,-262.207,112.211,-1989.07
-240.976,92.864,-2001.18,-261.364,113.476,-1989.415
-240.467,93.762,-2001.5,-260.678,114.546,-1989.768
-240.13,94.363,-2001.752,-260.259,115.232,-1990.079
-239.807,94.875,-2002.068,-259.853,115.825,-1990.325
-239.356,95.482,-2002.306,-259.308,116.557,-1990.669
-238.811,96.164,-2002.454,-258.649,117.393,-1990.893
-238.2,96.922,-2002.585,-257.889,118.32,-1991.069
-237.573,97.715,-2002.785,-257.111,119.257,-1991.237
-236.87,98.561,-2002.831,-256.234,120.296,-1991.376
-236.038,99.556,-2003.015,-255.223,121.507,-1991.669
-235.085,100.72,-2003.173,-254.063,122.914,-1992.053
-234.092,101.987,-2003.526,-252.799,124.474,-1992.428
-233.337,102.989,-2003.768,-251.854,125.661,-1992.737
-232.731,103.798,-2004.008,-251.103,126.61,-1993.155
-232.139,104.576,-2004.36,-250.39,127.517,-1993.523
-231.557,105.365,-2004.758,-249.711,128.442,-1994.007
-230.904,106.255,-2005.225,-248.917,129.499,-1994.598
