Tx,Ty,Tz,Tx,Ty,Tz
-277.158,125.422,-1848.096,-291.439,116.989,-1958.292
-277.223,125.481,-1848.371,-291.494,117.057,-1958.518
-277.281,125.512,-1848.594,-291.55,117.092,-1958.733
-277.313,125.544,-1848.761,-291.584,117.127,-1958.89
-277.29,125.605,-1848.922,-291.562,117.191,-1959.068
-277.242,125.669,-1849.038,-291.524,117.259,-1959.191
-277.186,125.739,-1849.176,-291.466,117.334,-1959.326
-277.114,125.829,-1849.31,-291.389,117.431,-1959.439
-276.961,125.933,-1849.466,-291.236,117.543,-1959.581
-276.723,126.07,-1849.606,-291.002,117.688,-1959.723
-276.417,126.227,-1849.74,-290.697,117.858,-1959.824
-276.059,126.405,-1849.87,-290.331,118.048,-1959.927
-275.67,126.635,-1850.095,-289.926,118.294,-1960.139
-275.224,126.9,-1850.341,-289.479,118.574,-1960.407
-274.733,127.191,-1850.685,-288.974,118.885,-1960.734
-274.205,127.485,-1851.01,-288.459,119.197,-1961.049
-273.756,127.78,-1851.449,-287.988,119.516,-1961.436
-273.365,128.068,-1851.859,-287.595,119.822,-1961.842
-273.071,128.32,-1852.275,-287.316,120.089,-1962.286
-272.895,128.546,-1852.833,-287.162,120.333,-1962.808
-272.81,128.729,-1853.335,-287.11,120.526,-1963.343
-272.847,128.857,-1853.772,-287.187,120.665,-1963.765
-272.979,128.919,-1854.168,-287.344,120.73,-1964.174
-273.14,128.95,-1854.466,-287.535,120.763,-1964.484
-273.29,128.968,-1854.772,-287.73,120.781,-1964.813
-273.433,128.965,-1854.992,-287.92,120.777,-1965.047
-273.522,128.958,-1855.11,-288.057,120.766,-1965.201
-273.533,128.984,-1855.237,-288.124,120.792,-1965.362
-273.466,129.029,-1855.279,-288.112,120.834,-1965.46
-273.389,129.078,-1855.306,-288.06,120.885,-1965.495
-273.294,129.138,-1855.327,-287.978,120.949,-1965.504
-273.147,129.212,-1855.334,-287.853,121.027,-1965.502
-287.678,121.109,-1965.477,-272.944,129.293,-1855.275
-272.726,129.391,-1855.322,-287.493,121.213,-1965.534
-272.47,129.505,-1855.383,-287.267,121.334,-1965.58
-272.231,129.608,-1855.414,-287.03,121.449,-1965.532
-271.956,129.736,-1855.445,-286.799,121.576,-1965.673
-287.983,152.715,-1970.238,-304.863,145.498,-2095.177
-271.42,130.009,-1855.755,-286.237,121.877,-1965.85
-271.177,130.144,-1855.931,-285.993,122.019,-1966.025
-270.944,130.26,-1856.104,-285.765,122.144,-1966.174
-286.901,153.265,-1970.985,-303.76,146.092,-2095.797
-270.554,130.53,-1856.591,-285.39,122.435,-1966.622
-270.376,130.662,-1856.856,-285.22,122.579,-1966.863
-270.222,130.807,-1857.165,-285.065,122.734,-1967.15
-286.072,153.859,-1972.23,-302.959,146.732,-2096.961
-285.856,154.026,-1972.571,-302.745,146.915,-2097.245
-284.61,123.246,-1968.102,-269.724,131.28,-1858.214
-269.588,131.445,-1858.653,-284.492,123.426,-1968.498
-285.25,154.544,-1973.83,-302.19,147.482,-2098.279
-285.066,154.715,-1974.295,-302.036,147.666,-2098.715
-284.264,123.89,-1969.577,-269.295,131.871,-1859.856
-302.05,147.795,-2099.256,-285.077,154.831,-1974.897
-285.171,154.837,-1975.112,-302.148,147.807,-2099.393
-269.65,131.843,-1860.442,-284.626,123.877,-1969.958
-284.982,123.723,-1969.889,-269.995,131.7,-1860.337
